語言	條目	字元數	發現路徑
ja	ヴィーナス&ブレイブス〜魔女と女神と滅びの予言〜	39559	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
fr	Raiponce (film, 2010)	39512	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Wethersfield, Connecticut	39501	Category:Witchcraft > American witchcraft
en	Rachel Dyer	39500	Category:Witchcraft > Curses > Fiction about curses
fr	Le Monde fantastique d'Oz	39405	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	The Frog Princess	39372	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	Witchboard	39351	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ko	탈춤	39334	분류:무속 > 무속 의식
en	La Fada Morgana	39310	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	The Bird That Spoke the Truth	39209	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	Ready or Not (2019 film)	39151	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
de	Moderne Hexenverfolgung	39114	Kategorie:Hexerei > Moderne Hexenverfolgung
de	Doctor Strange (2016)	39077	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
es	Sonido de libertad	39073	Categoría:Brujería > Satanismo > QAnon
en	Magikano	39050	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	Trial of Joan of Arc	38956	Category:Witch trials > Witch trials in Europe > Witch trials in France
en	King's Quest IV	38950	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
fr	Aleister Crowley	38938	Catégorie:Sorcellerie > Organisation qui s'intéresse à la magie > Ordo Templi Orientis
fr	L'Au-delà	38907	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Film sur la sorcellerie
es	Circe (cómic)	38899	Categoría:Brujería > Brujos ficticios > Brujas de DC Comics
es	Caza de brujas moderna	38869	Categoría:Brujería > Procesos por brujería
en	SaGa: Emerald Beyond	38865	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Rapunzel	38722	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	Mahō no Mako-chan	38648	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	King Arthur: Legend of the Sword	38648	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	天狗草紙	38644	Category:日本の妖怪 > 天狗
it	Saruman	38580	Categoria:Stregoneria > Stregoni immaginari
ja	神椿市建設中。	38571	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Negima! Magister Negi Magi	38563	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	Gabriel Knight: Sins of the Fathers	38493	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
ja	のっぺらぼう	38489	Category:日本の妖怪
ja	ヴォルヴァ	38446	Category:シャーマニズム
fr	Blanche Neige (film, 2025)	38411	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	47 Ronin (2013 film)	38219	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Sabbat des chats	38207	Catégorie:Sorcellerie
sv	Jeanne d'Arc	38157	Kategori:Häxprocesser > Personer som blivit avrättade för häxeri
ja	ドルーデ	38152	Category:魔女 > 山姥やハッグ
zh	搶頭香	38136	Category:中國民間信仰
ja	靴ずれ戦線 -魔女ワーシェンカの戦争-	38120	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
en	The Dark Is Rising Sequence	38042	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
fr	Hansel et Gretel : Witch Hunters	37976	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
es	Bewitched	37954	Categoría:Brujería > Brujos ficticios
es	Charles Walton (víctima de asesinato)	37939	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
en	Three Witches	37927	Category:Witchcraft > Fiction about witchcraft > Witchcraft in written fiction
en	Charles Borromeo	37922	Category:Witch trials > Witch trials in Europe > Witch trials in Italy
en	Witchboard (2024 film)	37866	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Kill, Baby, Kill	37805	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Hexenverfolgung in Lemgo	37799	Kategorie:Hexenverfolgung > Hexenverfolgung nach räumlicher Zuordnung > Hexenprozesse in Deutschland
en	Flying Dutchman	37773	Category:Witchcraft > Curses
es	Zeena Schreck	37688	Categoría:Brujería > Satanismo > Iglesia de Satán
fr	Phoebe Halliwell	37643	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
ja	シャンピニオンの魔女	37631	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Groac'h	37622	Category:Witchcraft > Witchcraft in folklore and mythology > Witches in folklore
de	Keltische Gottheiten	37557	Kategorie:Sagengestalt > Keltische Sagengestalt > Keltische Gottheit
ja	大悲心陀羅尼	37496	Category:呪術 > 陀羅尼
en	Robert Calef	37459	Category:Witchcraft > Witch hunting > Critics of witch hunting
fr	Legacies	37417	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
fr	Flying Witch	37396	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Sorcellerie dans la bande dessinée
es	Magia y brujería en México	37374	Categoría:Brujería > Brujería en América
en	Ancestral sin	37365	Category:Witchcraft > Curses
ru	Кирка (мифология)	37353	Категория:Ведьмы
en	Kyuukyuu Sentai GoGoFive	37326	Category:European witchcraft > Imps
en	Descendants (2015 film)	37277	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Return to Oz	37229	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Dave Mustaine	37228	Categoría:Brujería > Satanismo > Conversos al cristianismo desde el satanismo u ocultismo
en	Witch trials in early modern Scotland	37196	Category:Witch trials > Witch trials in Europe > Witch trials in Scotland
en	Atelier Ayesha: The Alchemist of Dusk	37155	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
de	Dodo (Kult)	37151	Kategorie:Sagengestalt > Fabelwesen > Geistwesen
es	Emma Swan	37103	Categoría:Brujería > Brujos ficticios
es	Abuso ritual satánico	37103	Categoría:Brujería > Satanismo > Abuso ritual satánico
en	The Muppets' Wizard of Oz	37096	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Madame de Montespan	37079	Catégorie:Sorcellerie > Sorcellerie féminine > Affaire des poisons
fr	Wandering Witch	37074	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
it	Hermione Granger	37033	Categoria:Stregoneria > Streghe nelle opere di fantasia
en	The Huntsman: Winter's War	37012	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	牛頭天王	37010	Category:陰陽道 > 陰陽道の神
en	Leo Igwe	36962	Category:Witchcraft > Modern witchcraft > Modern witch hunts
en	Life-Size	36960	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	はめつのおうこく	36957	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
zh	臨水夫人	36938	Category:中國民間信仰 > 福建民間信仰
it	Mago Merlino	36904	Categoria:Stregoneria > Stregoni immaginari
en	Prince of Persia: The Forgotten Sands (Wii)	36896	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	L'Histoire du soldat	36859	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
en	Dororo	36853	Category:Witchcraft > Curses > Fiction about curses
en	Curse and mark of Cain	36813	Category:Witchcraft > Curses
en	Good Omens	36806	Category:Witchcraft > Fiction about witchcraft > Witch hunting in fiction
de	Hexenverfolgung im Waadtland	36795	Kategorie:Hexenverfolgung > Hexenverfolgung nach räumlicher Zuordnung
en	The Chronicles of Prydain	36730	Category:Witchcraft > Fiction about witchcraft > Witchcraft in written fiction
ru	Акеларре	36680	Категория:Ведьмы
ja	18if	36659	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Death of James Dean	36624	Category:Witchcraft > Curses
en	Earwig and the Witch	36596	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	Isobel Gowdie	36586	Category:Witch trials > People accused of witchcraft > People convicted of witchcraft
de	Daniel von dem blühenden Tal	36567	Kategorie:Sagengestalt > Fabelwesen
en	Viy (story)	36561	Category:Witchcraft > Fiction about witchcraft > Witchcraft in written fiction
en	Bible Black	36536	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Pyramid Texts	36496	Category:Witchcraft > Incantation > Book of the Dead
en	The Addams Family (2019 film)	36463	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Déesse Mère	36443	Catégorie:Sorcellerie > Sorcellerie contemporaine > Wicca
es	Asesinato ritual	36368	Categoría:Brujería
en	Saul (Handel)	36364	Category:Witchcraft > Judaism and witchcraft > Witch of Endor
fr	Katherine Pierce	36353	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Diable dans la fiction
en	Tolkien fan fiction	36352	Category:Witchcraft > Fiction about witchcraft > Middle-earth
es	Encantadora	36313	Categoría:Brujería > Brujos ficticios > Brujas de Marvel Comics
fr	Little Witch Academia	36270	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Sorcellerie dans la bande dessinée
ja	陰陽師の一覧	36064	Category:陰陽道 > 陰陽師
fr	Sorcellerie chez Goya	36040	Catégorie:Sorcellerie > Sorcellerie féminine
en	Dororo (1969 TV series)	36011	Category:Witchcraft > Curses > Fiction about curses
zh	三教合流	35967	Category:中國民間信仰 > 三教
es	Motherland: Fort Salem	35903	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
en	Lutzelfrau	35902	Category:Witchcraft > Witchcraft by country > Witchcraft in Germany
ja	大嶽丸	35890	Category:日本の妖怪 > 鬼
en	La hija de Cólquide	35822	Category:Witchcraft > Fiction about witchcraft > Works about Medea
en	Symphonie fantastique	35800	Category:European witchcraft > Witches' Sabbath
en	The Killer Bride	35792	Category:Witchcraft > Curses > Fiction about curses
de	Werwolf	35704	Kategorie:Sagengestalt > Fabelwesen > Fabeltier
en	Curse of the Bambino	35576	Category:Witchcraft > Curses > Sports-related curses
de	The Magicians (Fernsehserie)	35572	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Befana	35568	Category:European witchcraft > Witchcraft in Italy
it	Jaina Marefiero	35568	Categoria:Stregoneria > Stregoni immaginari
ja	でこぼこ魔女の親子事情	35479	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	The Girl as Soldier	35455	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	Casca (series)	35438	Category:Witchcraft > Curses > Fiction about curses
it	Dottor Strange (Marvel Cinematic Universe)	35400	Categoria:Stregoneria > Stregoni immaginari
en	Witches' Sabbath	35378	Category:European witchcraft
en	Black Mass	35373	Category:European witchcraft
de	Harry Potter und die Heiligtümer des Todes – Teil 1	35333	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Bhairava Dweepam	35333	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	A Connecticut Yankee in King Arthur's Court	35236	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
es	Brujería vasca	35183	Categoría:Brujería > Brujería por país > Brujería en España
es	Geografía de la Tierra Media	35181	Categoría:Brujería > Brujería en la ficción > Tierra Media
fr	La Longue Nuit de l'exorcisme	35168	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	The Tale About Baba-Yaga	35131	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	Asian witchcraft	35123	Category:Witchcraft > Asian witchcraft
ja	グリモワール	35039	Category:呪術 > 西洋魔術
it	Satoru Gojo	35013	Categoria:Stregoneria > Stregoni immaginari
en	Wicked (Maguire novel)	34981	Category:Witchcraft > Fiction about witchcraft > Witchcraft in written fiction
en	Psalm 109	34912	Category:Witchcraft > Curses
ja	ユタ	34882	Category:シャーマニズム
ja	人魚姫	34849	Category:魔女 > 魔女を題材とした作品 > 人魚姫
ja	魔男のイチ	34840	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
en	The Haunted Mansion (2003 film)	34805	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	鬼剣舞	34728	Category:日本の妖怪 > 鬼
ja	時計仕掛けのレイライン	34677	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
en	Cotton Rock n' Roll: Superlative Night Dreams	34605	Category:Witchcraft > Fiction about witchcraft > Cotton (series)
en	Descendants 2	34567	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	The Mists of Avalon	34559	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
zh	中国民间信仰	34554	Category:中國民間信仰
en	The Tragedy of Arthur	34545	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
it	Ursula (Disney)	34537	Categoria:Stregoneria > Streghe nelle opere di fantasia
de	Nekomata	34502	Kategorie:Sagengestalt > Fabelwesen > Blutsauger
es	Magik	34445	Categoría:Brujería > Brujos ficticios
en	The Little Mermaid	34436	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	Nahanni National Park Reserve	34412	Category:Witchcraft > Curses
ja	ロザリーン・ノートン	34410	Category:魔女
en	Code Geass: Akito the Exiled	34403	Category:Witchcraft > Curses > Fiction about curses
en	My Immortal (fan fiction)	34364	Category:Witchcraft > Fiction about witchcraft > Witchcraft in written fiction
fr	Meurtre rituel	34323	Catégorie:Sorcellerie
ja	キルケー	34268	Category:魔女
ja	憑依	34231	Category:シャーマニズム
ja	サブリナ (テレビドラマ)	34226	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたテレビドラマ
en	Sebile	34141	Category:European witchcraft > Witchcraft in Italy
de	Harry Potter (Fernsehserie)	34099	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
ja	酒呑童子	34084	Category:日本の妖怪 > 鬼
en	Snow White's Enchanted Wish	34081	Category:Witchcraft > Fiction about witchcraft
en	Bullet Witch	34064	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	The Night Battles	34007	Category:European witchcraft > Witchcraft in Italy
fr	Mona Fandey	33960	Catégorie:Sorcellerie > Sorcellerie par lieu > Sorcellerie en Asie
de	Die Nebel von Avalon	33949	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
en	Season of the Witch (2011 film)	33936	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
it	Jafar	33903	Categoria:Stregoneria > Stregoni immaginari
fr	Possessions d'Aix-en-Provence	33897	Catégorie:Sorcellerie > Sorcellerie féminine
ja	高丸 (人物)	33870	Category:日本の妖怪 > 鬼
de	Guillaume Adeline	33830	Kategorie:Hexenverfolgung > Gegner der Hexenverfolgung
en	Aradia, or the Gospel of the Witches	33826	Category:Witchcraft > Grimoires
ja	八神くんの家庭の事情	33799	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたテレビドラマ
ja	いってみよう やってみよう	33676	Category:魔女 > 魔女を題材とした作品
de	Phantastische Tierwesen: Dumbledores Geheimnisse	33667	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Incest taboo	33655	Category:Witchcraft > Curses > Taboo
en	The Children of Húrin	33627	Category:Witchcraft > Curses > Fiction about curses
ko	유타 (유구)	33591	분류:샤머니즘
fr	Luz à Osville	33580	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	Witch hunts in Nepal	33553	Category:Witchcraft > Modern witchcraft > Modern witch hunts
en	Inferno (1980 film)	33505	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Tweeny Witches	33466	Category:Witchcraft > Curses > Fiction about curses
es	La bruja (película de 2015)	33441	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
ja	メメントモリ (ゲーム)	33428	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
zh	蚩尤	33415	Category:中國民間信仰 > 中国民间信仰神祇
en	Balaam	33377	Category:Witchcraft > Curses
en	Clash of the Titans (1981 film)	33375	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Murder for body parts	33369	Category:Witchcraft > African witchcraft
de	The Hollow of the Three Hills	33355	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur > Hexenverfolgung in der Literatur
it	Aradia, o il Vangelo delle Streghe	33337	Categoria:Stregoneria > Opere letterarie sulla stregoneria
zh	拜上帝會	33323	Category:中國民間信仰 > 拜上帝教
fr	Procès de sorcellerie du Valais	33308	Catégorie:Sorcellerie > Sorcellerie féminine
en	Kelpie	33303	Category:Witchcraft > Curses
fr	Marie-Madeleine Dreux d'Aubray	33297	Catégorie:Sorcellerie > Sorcellerie féminine > Affaire des poisons
de	Hexe	33294	Kategorie:Hexenverfolgung
fr	Le Projet Blair Witch	33260	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Dreamtime (book)	33230	Category:Witchcraft > Books about witchcraft
en	Juglans regia	33208	Category:European witchcraft > Witches' Sabbath
fr	The Witch (film, 2015)	33183	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
fr	Randall Flagg	33083	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Champignon Witch	33080	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	Terror (1978 film)	33076	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Anton Praetorius	33049	Kategorie:Hexenverfolgung > Gegner der Hexenverfolgung
en	Lego Dimensions	33040	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Good Witch (franchise)	32987	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
zh	东南亚华人民间宗教	32986	Category:中國民間信仰
ja	鈴鹿御前	32984	Category:日本の妖怪 > 鬼
en	Flying ointment	32964	Category:European witchcraft
ja	ルミナスアーク	32916	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
it	Maciara	32893	Categoria:Stregoneria
es	Sebile	32892	Categoría:Brujería > Brujos ficticios
en	Danvers, Massachusetts	32884	Category:Witch trials > Witch trials in North America > Salem witch trials
de	Homunkulus	32882	Kategorie:Sagengestalt > Fabelwesen
en	The Tale of the Little Dog	32828	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
de	Simon Gogräve	32795	Kategorie:Hexenverfolgung > Gegner der Hexenverfolgung
ru	Босорка	32765	Категория:Ведьмы
es	Kore wa Zombie Desu ka?	32712	Categoría:Brujería > Zombis > Zombis en la historieta
en	Tales of Berseria	32710	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Curse of the Billy Goat	32603	Category:Witchcraft > Curses > Sports-related curses
en	Amabie	32567	Category:Witchcraft > Witchcraft in folklore and mythology
en	Häxan	32564	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Frau Holle	32556	Category:Witchcraft > Witchcraft in folklore and mythology
en	Teen Witch	32543	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	White-Bear-King-Valemon	32526	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	Tales of Halloween	32514	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Mona Fandey	32484	Category:Witchcraft > Asian witchcraft
en	The Last Witch Hunter	32472	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
it	Processo alle streghe di Salem	32456	Categoria:Stregoneria > Processi per stregoneria
it	Lluvia Loxar	32426	Categoria:Stregoneria > Streghe nelle opere di fantasia
ru	Ведьма	32416	Категория:Ведьмы
en	Grimoire	32401	Category:Witchcraft > Grimoires
zh	魔神仔	32384	Category:中國民間信仰 > 中国民间信仰神祇
ja	雪女	32314	Category:日本の妖怪
es	Madame Xanadu	32309	Categoría:Brujería > Brujos ficticios > Brujas de DC Comics
fr	Natsu Dragnir	32290	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
es	Agatha Harkness (cómic)	32276	Categoría:Brujería > Brujos ficticios > Brujas de Marvel Comics
en	Agatha All Along (song)	32261	Category:Witchcraft > Fiction about witchcraft > Songs about witches
ja	STELLA GLOW	32248	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
de	Marpesia und Lampeto	32211	Kategorie:Sagengestalt > Mythischer Herrscher > Königin der griechischen Mythologie
ja	ダイダラボッチ	32191	Category:日本の妖怪
en	Voldemort effect	32176	Category:Witchcraft > Curses > Taboo
en	Chinese sorcery scares	32147	Category:Witchcraft > Witch hunting
ja	吉備真備	32122	Category:陰陽道 > 陰陽師
it	Yuji Itadori	32118	Categoria:Stregoneria > Stregoni immaginari
en	Sihuanaba	32102	Category:Witchcraft > Curses
de	Blair Witch Project	32064	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	The Six Swans	32007	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	Witch's milk	31988	Category:European witchcraft
de	Hostienfrevel	31916	Kategorie:Hexenverfolgung
fr	Sorcières de Samlesbury	31857	Catégorie:Sorcellerie > Procès de sorcellerie > Procès de sorcellerie en Angleterre
ja	ゾンビ (バイオハザードシリーズ)	31820	Category:呪術 > ゾンビ
ja	二十八宿	31807	Category:呪術 > 陰陽道
es	Frau Holle	31765	Categoría:Brujería > Magia y brujería en folclore y mitología
es	Doom 3	31760	Categoría:Brujería > Satanismo > Videojuegos de satanismo
fr	Witchcraft Works	31759	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	The Dunwich Horror	31753	Category:Witchcraft > Fiction about witchcraft > Witchcraft in written fiction
ja	化け猫	31736	Category:日本の妖怪
en	Giasone	31648	Category:Witchcraft > Fiction about witchcraft > Works about Medea
ja	ウェンズデー (テレビドラマ)	31647	Category:魔女 > 魔女を題材とした作品 > 魔女狩りを題材とした作品
ja	妙見菩薩	31633	Category:陰陽道 > 陰陽道の神
es	Visión cristiana sobre la magia	31627	Categoría:Brujería
de	Merlin – Die neuen Abenteuer	31595	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Ready or Not 2: Here I Come	31589	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
es	Anexo:Personas ejecutadas por brujería	31545	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
de	Iwein	31496	Kategorie:Sagengestalt > Ritter der Tafelrunde
en	Yami to Bōshi to Hon no Tabibito	31468	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
es	Koopalines	31461	Categoría:Brujería > Brujos ficticios
ja	平徳子	31419	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
en	War Witch	31362	Category:Witchcraft > African witchcraft
en	Super Mario Land 2: 6 Golden Coins	31356	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
es	Lucas 22	31340	Categoría:Brujería > Satanismo
en	Paranormal Activity 4	31326	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Völva	31272	Catégorie:Sorcellerie > Magicien ou sorcier de légende
en	Witch of Endor	31253	Category:Witchcraft > Judaism and witchcraft > Witch of Endor
en	Lamanites	31233	Category:Witchcraft > Curses
en	The Goddess Girls	31223	Category:Witchcraft > Fiction about witchcraft > Works about Medea
en	Kennedy curse	31165	Category:Witchcraft > Curses
fr	Goétie	31146	Catégorie:Sorcellerie
es	The Last of Us: American Dreams	31102	Categoría:Brujería > Zombis > Zombis en la historieta
ja	マクベス (シェイクスピア)	31019	Category:魔女 > 魔女を題材とした作品
ja	九人の魔女	31003	Category:魔女
de	Krabat (Sage)	30986	Kategorie:Hexerei > Hexerei in der Kultur
de	Julius Echter von Mespelbrunn	30933	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
en	Ordeal of the bitter water	30927	Category:Witchcraft > Curses
en	Taboo	30911	Category:Witchcraft > Curses > Taboo
en	Rhapsody: A Musical Adventure	30906	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Ancient Egyptian conception of the soul	30886	Category:Witchcraft > Incantation > Book of the Dead
fr	Stardust, le mystère de l'étoile	30826	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
fr	Rubeus Hagrid	30790	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
ja	桃色サバス	30755	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
en	Christian views on magic	30731	Category:Witchcraft
fr	Hérédité (film, 2018)	30605	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Film sur la sorcellerie
en	Fear Street Part One: 1994	30567	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Cunning folk	30534	Category:European witchcraft
en	Legends and myths regarding the Titanic	30520	Category:Witchcraft > Curses
ja	魔女	30501	Category:魔女
fr	A Discovery of Witches	30489	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
fr	Sorcellerie en Auvergne	30477	Catégorie:Sorcellerie > Sorcellerie par lieu > Sorcellerie en France
fr	Neuf sorcières	30469	Catégorie:Sorcellerie > Magicien ou sorcier de légende
ja	グッド・オーメンズ (テレビドラマ)	30413	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたテレビドラマ
en	King's Quest II	30386	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
es	Mona Fandey	30313	Categoría:Brujería > Brujas (brujería)
en	Black cat	30290	Category:European witchcraft > Familiars
sv	Häxprocesser i Sverige	30277	Kategori:Häxprocesser > Häxprocesser i Europa > Häxprocesser i Sverige
de	Martin Anton Delrio	30256	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung > Hexentheoretiker
es	Brujas de Pendle	30256	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
de	Grimoire	30227	Kategorie:Hexenverfolgung
en	Macbeth (2015 film)	30214	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Helluva Boss	30184	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Diable dans la fiction
en	Return to Halloweentown	30182	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Harald I. (Norwegen)	30166	Kategorie:Sagengestalt > Figur der Färingersaga
fr	Luna Lovegood	30145	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
fr	Docteur Strange	30101	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Lee Cronin's The Mummy	30089	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Davy Jones (Pirates of the Caribbean)	30047	Category:Witchcraft > Curses > Flying Dutchman
en	Impact of Tolkien's Middle-earth writings	30025	Category:Witchcraft > Fiction about witchcraft > Middle-earth
de	Rübezahl	29946	Kategorie:Sagengestalt
fr	Belladone	29922	Catégorie:Sorcellerie > Plante utilisée en sorcellerie
en	Ms. Pac-Man Maze Madness	29886	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
ja	メーデイア	29883	Category:魔女
en	Superman curse	29879	Category:Witchcraft > Curses
en	Dido and Aeneas	29823	Category:Witchcraft > Fiction about witchcraft
en	Beautiful Creatures (2013 film)	29809	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	四柱推命	29795	Category:呪術 > 陰陽道
es	Klarion	29735	Categoría:Brujería > Brujos ficticios
de	Hexenprozesse von Salem	29707	Kategorie:Hexenverfolgung > Hexenverfolgung nach räumlicher Zuordnung
